ip,owner,department
10.0.2.52,user09,ops
10.0.2.53,user10,ops
10.0.2.54,user11,finance
10.0.2.55,user12,eng
10.0.2.56,user13,eng
10.0.2.57,user14,finance
10.0.2.58,user15,eng
10.0.2.59,user16,finance
10.0.2.60,user17,finance
10.0.2.61,user18,finance
10.0.2.62,user19,ops
10.0.2.63,user20,ops
10.0.2.64,user21,ops
10.0.2.65,user22,finance
10.0.2.66,user23,ops
10.0.2.67,user24,eng
10.0.2.68,user25,finance
10.0.2.69,user26,eng
10.0.2.70,user27,finance
10.0.2.71,user28,ops
10.0.2.72,user29,ops
10.0.2.73,user30,eng
10.0.2.74,user31,ops
10.0.2.75,user32,eng
10.0.2.76,user33,ops
10.0.2.77,user34,eng
10.0.2.78,user35,ops
10.0.2.79,user36,eng
10.0.2.80,user00,ops
10.0.2.81,user01,finance
10.0.2.82,user02,finance
10.0.2.83,user03,eng
10.0.2.84,user04,finance
10.0.2.85,user05,ops
10.0.2.86,user06,ops
10.0.2.87,user07,ops
10.0.2.88,user08,finance
10.0.2.89,user09,eng
10.0.2.90,user10,eng
10.0.2.91,user11,finance
10.0.2.92,user12,finance
10.0.2.93,user13,finance
10.0.2.94,user14,finance
10.0.2.95,user15,ops
10.0.2.96,user16,ops
10.0.2.97,user17,eng
10.0.2.98,user18,eng
10.0.2.99,user19,finance
10.0.2.100,user20,finance
10.0.2.101,user21,finance
10.0.2.102,user22,ops
10.0.2.103,user23,eng
10.0.2.104,user24,ops
10.0.2.105,user25,ops
10.0.2.106,user26,eng
10.0.2.107,user27,ops
10.0.2.108,user28,finance
10.0.2.109,user29,ops
10.0.2.110,user30,eng
10.0.2.111,user31,finance
10.0.2.112,user32,eng
10.0.2.113,user33,finance
10.0.2.114,user34,finance
10.0.2.115,user35,eng
10.0.2.116,user36,eng
10.0.2.117,user00,finance
10.0.2.118,user01,eng
10.0.2.119,user02,eng
10.0.2.120,user03,eng
10.0.2.121,user04,ops
10.0.2.122,user05,eng
10.0.2.123,user06,finance
10.0.2.124,user07,finance
10.0.2.125,user08,eng
10.0.2.126,user09,finance
10.0.2.127,user10,eng
10.0.2.128,user11,finance
10.0.2.129,user12,finance
10.0.2.130,user13,eng
10.0.2.131,user14,eng
10.0.2.132,user15,finance
10.0.2.133,user16,eng
10.0.2.134,user17,eng
10.0.2.135,user18,ops
10.0.2.136,user19,ops
10.0.2.137,user20,finance
10.0.2.138,user21,finance
10.0.2.139,user22,ops
10.0.2.140,user23,finance
10.0.2.141,user24,finance
10.0.2.142,user25,eng
10.0.2.143,user26,finance
10.0.2.144,user27,finance
10.0.2.145,user28,eng
10.0.2.146,user29,ops
10.0.2.147,user30,finance
10.0.2.148,user31,eng
10.0.2.149,user32,finance
10.0.2.150,user33,eng
10.0.2.151,user34,eng
10.0.2.152,user35,ops
10.0.2.153,user36,finance
10.0.2.154,user00,finance
10.0.2.155,user01,ops
10.0.2.156,user02,ops
10.0.2.157,user03,finance
10.0.2.158,user04,ops
10.0.2.159,user05,ops
10.0.2.160,user06,ops
10.0.2.161,user07,eng
10.0.2.162,user08,eng
10.0.2.163,user09,ops
10.0.2.164,user10,eng
10.0.2.165,user11,finance
10.0.2.166,user12,eng
10.0.2.167,user13,ops
10.0.2.168,user14,ops
10.0.2.169,user15,ops
10.0.2.170,user16,finance
10.0.2.171,user17,finance
10.0.2.172,user18,ops
10.0.2.173,user19,ops
10.0.2.174,user20,ops
10.0.2.175,user21,eng
10.0.2.176,user22,ops
10.0.2.177,user23,ops
10.0.2.178,user24,ops
10.0.2.179,user25,finance
10.0.2.180,user26,ops
10.0.2.181,user27,ops
10.0.2.182,user28,ops
10.0.2.183,user29,finance
10.0.2.184,user30,ops
10.0.2.185,user31,ops
10.0.2.186,user32,ops
10.0.2.187,user33,ops
10.0.2.188,user34,ops
10.0.2.189,user35,ops
10.0.2.190,user36,finance
10.0.2.191,user00,finance
10.0.2.192,user01,finance
10.0.2.193,user02,finance
10.0.2.194,user03,finance
10.0.2.195,user04,ops
10.0.2.196,user05,eng
10.0.2.197,user06,finance
10.0.2.198,user07,eng
10.0.2.199,user08,eng
10.0.2.200,user09,ops
10.0.2.201,user10,finance
10.0.2.202,user11,ops
10.0.2.203,user12,finance
10.0.2.204,user13,ops
10.0.2.205,user14,ops
10.0.2.206,user15,ops
10.0.2.207,user16,finance
10.0.2.208,user17,eng
10.0.2.209,user18,eng
10.0.2.210,user19,finance
10.0.2.211,user20,eng
10.0.2.212,user21,finance
10.0.2.213,user22,ops
10.0.2.214,user23,ops
10.0.2.215,user24,ops
10.0.2.216,user25,finance
10.0.2.217,user26,ops
10.0.2.218,user27,ops
10.0.2.219,user28,finance
10.0.2.220,user29,ops
10.0.2.221,user30,ops
10.0.2.222,user31,eng
10.0.2.223,user32,eng
10.0.2.224,user33,finance
10.0.2.225,user34,eng
10.0.2.226,user35,finance
10.0.2.227,user36,ops
10.0.2.228,user00,finance
10.0.2.229,user01,finance
10.0.2.230,user02,ops
10.0.2.231,user03,ops
10.0.2.232,user04,eng
10.0.2.233,user05,eng
10.0.2.234,user06,eng
10.0.2.235,user07,finance
10.0.2.236,user08,eng
10.0.2.237,user09,ops
10.0.2.238,user10,eng
10.0.2.239,user11,finance
10.0.2.240,user12,ops
10.0.2.241,user13,ops
10.0.2.242,user14,ops
10.0.2.243,user15,finance
10.0.2.244,user16,finance
10.0.2.245,user17,ops
10.0.2.246,user18,finance
10.0.2.247,user19,eng
10.0.2.248,user20,eng
10.0.2.249,user21,ops
10.0.2.250,user22,ops
10.0.2.251,user23,ops
10.0.2.252,user24,eng
10.0.2.253,user25,ops
10.0.2.254,user26,ops
10.0.2.255,user27,finance
10.0.3.0,user28,finance
10.0.3.1,user29,eng
10.0.3.2,user30,finance
10.0.3.3,user31,eng
10.0.3.4,user32,eng
10.0.3.5,user33,ops
10.0.3.6,user34,finance
10.0.3.7,user35,ops
10.0.3.8,user36,finance
10.0.3.9,user00,ops
10.0.3.10,user01,eng
10.0.3.11,user02,eng
10.0.3.12,user03,ops
10.0.3.13,user04,ops
10.0.3.14,user05,eng
10.0.3.15,user06,eng
10.0.3.16,user07,eng
10.0.3.17,user08,eng
10.0.3.18,user09,finance
10.0.3.19,user10,ops
10.0.3.20,user11,finance
10.0.3.21,user12,eng
10.0.3.22,user13,finance
10.0.3.23,user14,eng
10.0.3.24,user15,finance
10.0.3.25,user16,eng
10.0.3.26,user17,eng
10.0.3.27,user18,finance
10.0.3.28,user19,ops
10.0.3.29,user20,eng
10.0.3.30,user21,eng
10.0.3.31,user22,eng
10.0.3.32,user23,finance
10.0.3.33,user24,finance
10.0.3.34,user25,finance
10.0.3.35,user26,ops
10.0.3.36,user27,finance
10.0.3.37,user28,finance
10.0.3.38,user29,ops
10.0.3.39,user30,ops
10.0.3.40,user31,eng
10.0.3.41,user32,eng
10.0.3.42,user33,finance
10.0.3.43,user34,ops
10.0.3.44,user35,ops
10.0.3.45,user36,ops
10.0.3.46,user00,eng
10.0.3.47,user01,finance
10.0.3.48,user02,ops
10.0.3.49,user03,eng
10.0.3.50,user04,finance
10.0.3.51,user05,eng
10.0.3.52,user06,eng
10.0.3.53,user07,eng
10.0.3.54,user08,finance
10.0.3.55,user09,finance
10.0.3.56,user10,finance
10.0.3.57,user11,eng
10.0.3.58,user12,ops
10.0.3.59,user13,eng
10.0.3.60,user14,eng
10.0.3.61,user15,eng
10.0.3.62,user16,ops
10.0.3.63,user17,finance
10.0.3.64,user18,eng
10.0.3.65,user19,eng
10.0.3.66,user20,eng
10.0.3.67,user21,eng
10.0.3.68,user22,finance
10.0.3.69,user23,eng
10.0.3.70,user24,finance
10.0.3.71,user25,eng
10.0.3.72,user26,eng
10.0.3.73,user27,eng
10.0.3.74,user28,finance
10.0.3.75,user29,finance
10.0.3.76,user30,ops
10.0.3.77,user31,finance
10.0.3.78,user32,ops
10.0.3.79,user33,eng
10.0.3.80,user34,eng
10.0.3.81,user35,eng
10.0.3.82,user36,finance
10.0.3.83,user00,eng
10.0.3.84,user01,eng
10.0.3.85,user02,ops
10.0.3.86,user03,finance
10.0.3.87,user04,eng
10.0.3.88,user05,eng
10.0.3.89,user06,eng
10.0.3.90,user07,finance
10.0.3.91,user08,eng
10.0.3.92,user09,finance
10.0.3.93,user10,finance
10.0.3.94,user11,ops
10.0.3.95,user12,eng
10.0.3.96,user13,ops
10.0.3.97,user14,finance
10.0.3.98,user15,finance
10.0.3.99,user16,eng
10.0.3.100,user17,eng
10.0.3.101,user18,ops
10.0.3.102,user19,eng
10.0.3.103,user20,finance
10.0.3.104,user21,eng
10.0.3.105,user22,eng
10.0.3.106,user23,finance
10.0.3.107,user24,ops
10.0.3.108,user25,eng
10.0.3.109,user26,ops
10.0.3.110,user27,ops
10.0.3.111,user28,finance
10.0.3.112,user29,ops
10.0.3.113,user30,finance
10.0.3.114,user31,finance
10.0.3.115,user32,ops
10.0.3.116,user33,eng
10.0.3.117,user34,eng
10.0.3.118,user35,ops
10.0.3.119,user36,finance
10.0.3.120,user00,ops
10.0.3.121,user01,eng
10.0.3.122,user02,eng
10.0.3.123,user03,finance
10.0.3.124,user04,ops
10.0.3.125,user05,finance
10.0.3.126,user06,finance
10.0.3.127,user07,eng
10.0.3.128,user08,eng
10.0.3.129,user09,eng
10.0.3.130,user10,eng
10.0.3.131,user11,eng
10.0.3.132,user12,eng
10.0.3.133,user13,ops
10.0.3.134,user14,ops
10.0.3.135,user15,ops
10.0.3.136,user16,eng
10.0.3.137,user17,eng
10.0.3.138,user18,ops
10.0.3.139,user19,finance
10.0.3.140,user20,eng
10.0.3.141,user21,eng
10.0.3.142,user22,ops
10.0.3.143,user23,ops
10.0.3.144,user24,eng
10.0.3.145,user25,finance
10.0.3.146,user26,finance
10.0.3.147,user27,ops
10.0.3.148,user28,finance
10.0.3.149,user29,finance
10.0.3.150,user30,finance
10.0.3.151,user31,ops
10.0.3.152,user32,eng
10.0.3.153,user33,ops
10.0.3.154,user34,finance
10.0.3.155,user35,eng
10.0.3.156,user36,eng
10.0.3.157,user00,eng
10.0.3.158,user01,eng
10.0.3.159,user02,finance
10.0.3.160,user03,ops
10.0.3.161,user04,finance
10.0.3.162,user05,finance
10.0.3.163,user06,finance
10.0.3.164,user07,finance
10.0.3.165,user08,eng
10.0.3.166,user09,ops
10.0.3.167,user10,finance
10.0.3.168,user11,eng
10.0.3.169,user12,finance
10.0.3.170,user13,eng
10.0.3.171,user14,eng
10.0.3.172,user15,ops
10.0.3.173,user16,finance
10.0.3.174,user17,finance
10.0.3.175,user18,ops
10.0.3.176,user19,eng
10.0.3.177,user20,eng
10.0.3.178,user21,eng
10.0.3.179,user22,ops
10.0.3.180,user23,ops
10.0.3.181,user24,finance
10.0.3.182,user25,eng
10.0.3.183,user26,eng
10.0.3.184,user27,eng
10.0.3.185,user28,finance
10.0.3.186,user29,eng
10.0.3.187,user30,eng
10.0.3.188,user31,ops
10.0.3.189,user32,eng
10.0.3.190,user33,finance
10.0.3.191,user34,ops
10.0.3.192,user35,ops
10.0.3.193,user36,ops
10.0.3.194,user00,ops
10.0.3.195,user01,finance
10.0.3.196,user02,finance
10.0.3.197,user03,eng
10.0.3.198,user04,finance
10.0.3.199,user05,eng
10.0.3.200,user06,eng
10.0.3.201,user07,ops
10.0.3.202,user08,eng
10.0.3.203,user09,eng
10.0.3.204,user10,eng
10.0.3.205,user11,finance
10.0.3.206,user12,finance
10.0.3.207,user13,finance
10.0.3.208,user14,eng
10.0.3.209,user15,ops
10.0.3.210,user16,eng
10.0.3.211,user17,ops
10.0.3.212,user18,eng
10.0.3.213,user19,finance
10.0.3.214,user20,finance
10.0.3.215,user21,eng
10.0.3.216,user22,ops
10.0.3.217,user23,eng
10.0.3.218,user24,eng
10.0.3.219,user25,finance
10.0.3.220,user26,finance
10.0.3.221,user27,finance
10.0.3.222,user28,finance
10.0.3.223,user29,finance
10.0.3.224,user30,ops
10.0.3.225,user31,ops
10.0.3.226,user32,finance
10.0.3.227,user33,ops
10.0.3.228,user34,ops
10.0.3.229,user35,ops
